"","DP","DPNOM","DPMP","MPIO","pop10","hommun10","hrate10","sur10","pop11","hommun11","hrate11","sur11","pop12","hommun12","hrate12","sur12","pop13","hommun13","hrate13","sur13","pop14","hommun14","hrate14","sur14","pop15","hommun15","hrate15","sur15","pop16","hommun16","hrate16","sur16","pop17","hommun17","hrate17","sur17","pop18","hommun18","hrate18","sur18"
"1",5,"Antioquia",5001000,"Medellín",2343049,1399,5.97085250884638,9994.02914749115,2368282,1549,6.54060622848124,9993.45939377152,2393011,1240,5.18175637303798,9994.81824362696,2417325,913,3.77690215424074,9996.22309784576,2441123,649,2.65861245008957,9997.34138754991,2464322,489,1.98431860771441,9998.01568139229,2486723,533,2.14338307885518,9997.85661692114,2508452,577,2.30022340471334,9997.69977659529,2529403,626,2.47489229671982,9997.52510770328
"2",5,"Antioquia",5002000,"Abejorral",19750,4,2.0253164556962,9997.9746835443,19672,3,1.52501016673444,9998.47498983326,19570,8,4.08788962698007,9995.91211037302,19478,6,3.08039839819283,9996.91960160181,19382,4,2.06377050871943,9997.93622949128,19290,5,2.59201658890617,9997.40798341109,19195,7,3.64678301641052,9996.35321698359,19096,2,1.04733975701718,9998.95266024298,18991,5,2.63282607550945,9997.36717392449
"3",5,"Antioquia",5004000,"Abriaquí",2397,0,0,10000,2336,0,0,10000,2290,0,0,10000,2231,0,0,10000,2175,0,0,10000,2128,0,0,10000,2075,0,0,10000,2019,1,4.95294700346706,9995.04705299653,1971,0,0,10000
"4",5,"Antioquia",5021000,"Alejandría",3652,0,0,10000,3618,0,0,10000,3575,0,0,10000,3550,1,2.8169014084507,9997.18309859155,3502,0,0,10000,3466,1,2.88517022504328,9997.11482977496,3435,1,2.91120815138282,9997.08879184862,3393,2,5.89448865310934,9994.10551134689,3361,0,0,10000
"5",5,"Antioquia",5030000,"Amagá",28433,10,3.51704005908627,9996.48295994091,28664,17,5.93078425900084,9994.069215741,28897,26,8.99747378620618,9991.00252621379,29117,25,8.58604938695607,9991.41395061304,29339,11,3.74927570810184,9996.2507242919,29555,8,2.70681779732702,9997.29318220267,29770,9,3.02317769566678,9996.97682230433,29980,13,4.33622414943296,9995.66377585057,30181,5,1.65667141579139,9998.34332858421
"6",5,"Antioquia",5031000,"Amalfi",21295,6,2.81756280817093,9997.18243719183,21449,7,3.26355541050865,9996.73644458949,21615,11,5.08905852417303,9994.91094147583,21768,11,5.05328923190004,9994.9467107681,21932,19,8.66314061645085,9991.33685938355,22088,15,6.79101774719305,9993.20898225281,22253,7,3.14564328405159,9996.85435671595,22414,4,1.78459891139466,9998.21540108861,22567,8,3.54499933531262,9996.45500066469
"7",5,"Antioquia",5034000,"Andes",43715,11,2.51629875328834,9997.48370124671,44149,15,3.39758544927405,9996.60241455073,44573,35,7.85228725910304,9992.1477127409,44994,31,6.88980752989287,9993.11019247011,45417,32,7.04581984719378,9992.95418015281,45814,25,5.45684725193172,9994.54315274807,46221,23,4.97609311784687,9995.02390688215,46621,29,6.22037279337638,9993.77962720662,47003,43,9.1483522328362,9990.85164776716
"8",5,"Antioquia",5036000,"Angelópolis",8287,1,1.20670930372873,9998.79329069627,8415,2,2.3767082590612,9997.62329174094,8551,9,10.5250847854052,9989.47491521459,8680,7,8.06451612903226,9991.93548387097,8806,3,3.40676811265047,9996.59323188735,8946,4,4.47127207690588,9995.52872792309,9082,5,5.50539528738163,9994.49460471262,9216,4,4.34027777777778,9995.65972222222,9353,4,4.27670266224741,9995.72329733775
"9",5,"Antioquia",5038000,"Angostura",11930,1,0.838222967309304,9999.16177703269,11811,3,2.54000508001016,9997.45999491999,11695,3,2.56519880290723,9997.43480119709,11579,1,0.863632438034373,9999.13636756197,11464,5,4.36147941381717,9995.63852058618,11354,7,6.1652281134402,9993.83477188656,11240,6,5.33807829181495,9994.66192170818,11139,9,8.07971990304336,9991.92028009696,11040,4,3.6231884057971,9996.3768115942
"10",5,"Antioquia",5040000,"Anorí",16025,2,1.24804992199688,9998.751950078,16237,5,3.07938658619203,9996.92061341381,16447,19,11.5522587705965,9988.4477412294,16658,12,7.2037459478929,9992.79625405211,16870,19,11.262596324837,9988.73740367516,17086,16,9.36439189980101,9990.6356081002,17304,10,5.77901063337957,9994.22098936662,17521,8,4.56594943211004,9995.43405056789,17737,26,14.658623217004,9985.341376783
